codigo_curso,nombre_curso,area_academica,curso_base,curso_bloqueante,nivel_bloqueo_curricular,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,indice_continuidad_oferta,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,cantidad_cursos_dependientes,tasa_ocupacion_promedio_2024,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024
2830,Emprendedores de Negocios Informaticos,Metodologia de Sistemas,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2831,Seguridad y Auditorias de Redes,Ciencias de la Computacion,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2832,Sistemas Aplicados 1,Desarrollo de Software,No,Si,medio,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2833,Bases de Datos Avanzadas,Desarrollo de Software,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2834,Sistemas Organizacionales y Gerenciales 2,Metodologia de Sistemas,No,No,bajo,0.23076923076923078,0.15384615384615385,0.25,3.0,0.0,0,0.75,15.0,13.0
2835,Modelacion y Simulacion 2,Metodologia de Sistemas,No,No,bajo,0.5,0.0,0.25,3.0,0.0,0,0.45,9.0,6.0
2836,Software Avanzado,Desarrollo de Software,No,No,bajo,0.2857142857142857,0.21428571428571427,0.25,4.0,0.0,0,0.7,14.0,14.0
2837,Seminario de Investigacion,Ciencias Basicas y Complementarias,No,No,bajo,0.35,0.15,0.5,4.0,0.0,0,0.525,21.0,20.0
2838,Inteligencia Artificial 2,Ciencias de la Computacion,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2839,Redes de Nueva Generacion,Ciencias de la Computacion,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2840,Sistemas Aplicados 2,Desarrollo de Software,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2841,Auditoria de Proyectos de Software,Desarrollo de Software,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
