estudiante_id_ofuscado,anio_academico,periodo_inscripcion,codigo_carrera,nombre_carrera,pensum,cohorte_ingreso
f2b69ec5-a14d-5236-a5b1-4a3da87d9200,2024,S1,58,Ciencias y Sistemas,2016-58,2020
f37f66a2-3ef2-5947-8f55-1145199e62f0,2024,S1,58,Ciencias y Sistemas,2016-58,2020
f3df7bb3-edfa-50c0-9e56-9da800375bc4,2024,S1,58,Ciencias y Sistemas,2016-58,2020
fc5db985-05cf-59ad-a8d8-e6a91932d72c,2024,S1,58,Ciencias y Sistemas,2016-58,2020
ff71036f-4246-50f0-bdcc-ca1603a77671,2024,S1,58,Ciencias y Sistemas,2016-58,2020
050d1ef7-fae1-5a16-8445-3f2c1bb0e697,2024,S1,58,Ciencias y Sistemas,2016-58,2021
05b5961d-646c-504b-b525-05bffbd7eda8,2024,S1,58,Ciencias y Sistemas,2016-58,2021
069b0f85-66ac-5610-9b5a-0560dd8cad5c,2024,S1,58,Ciencias y Sistemas,2016-58,2021
08114b97-9250-52f8-9d5f-2f312c9ebf05,2024,S1,58,Ciencias y Sistemas,2016-58,2021
09f38ce8-1f46-54d4-9aaf-a5c3bd38490d,2024,S1,58,Ciencias y Sistemas,2016-58,2021
0dbc3861-b848-5448-a148-42de02126320,2024,S1,58,Ciencias y Sistemas,2016-58,2021
10a2c72f-365b-57d6-bd26-e86b0e4d68c2,2024,S1,58,Ciencias y Sistemas,2016-58,2021
1455f2e4-769b-5a64-aff9-ce869cd2fa54,2024,S1,58,Ciencias y Sistemas,2016-58,2021
18259429-587c-58cc-96cd-23a89c45f1cb,2024,S1,58,Ciencias y Sistemas,2016-58,2021
1d7fe8ac-2147-59a2-b6c8-e171b2681c3f,2024,S1,58,Ciencias y Sistemas,2016-58,2021
20470cf5-2acb-53ea-8996-70426c23e593,2024,S1,58,Ciencias y Sistemas,2016-58,2021
258230b7-9a78-5154-bafa-abd2bb5f077f,2024,S1,58,Ciencias y Sistemas,2016-58,2021
2905901c-e9bb-5210-b2b9-d5891b55407e,2024,S1,58,Ciencias y Sistemas,2016-58,2021
3099a7bf-6e40-58f6-ab25-f2d2d83ce748,2024,S1,58,Ciencias y Sistemas,2016-58,2021
30d86f50-ab28-5b09-a612-62765781d14c,2024,S1,58,Ciencias y Sistemas,2016-58,2021
327817b1-69ac-5335-a21d-9b8f2b559853,2024,S1,58,Ciencias y Sistemas,2016-58,2021
414c2cd0-1848-5853-8c5d-c17cb93672ce,2024,S1,58,Ciencias y Sistemas,2016-58,2021
41be5257-eb86-58d2-acc5-634e881af433,2024,S1,58,Ciencias y Sistemas,2016-58,2021
435a047c-b216-568f-ba1d-8ad22af29c5d,2024,S1,58,Ciencias y Sistemas,2016-58,2021
44face32-0c1c-529f-8dba-2e87be09c35d,2024,S1,58,Ciencias y Sistemas,2016-58,2021
4a6b3546-7880-595e-b541-6aab9d24320b,2024,S1,58,Ciencias y Sistemas,2016-58,2021
5307c02e-106e-56e4-a7c6-ccf412960b22,2024,S1,58,Ciencias y Sistemas,2016-58,2021
57c0a3f8-794b-51aa-822a-0f9abf7e09c9,2024,S1,58,Ciencias y Sistemas,2016-58,2021
58b6a601-745d-570f-94ed-2ad0438822dc,2024,S1,58,Ciencias y Sistemas,2016-58,2021
619e0687-c73c-51a5-96c5-00517e00097a,2024,S1,58,Ciencias y Sistemas,2016-58,2021
690768a4-bb18-595a-a71f-c99fe2a9eb6e,2024,S1,58,Ciencias y Sistemas,2016-58,2021
6bb97f95-e313-5cc7-bef3-47a9c8f29a52,2024,S1,58,Ciencias y Sistemas,2016-58,2021
6bcbc5b9-aa3f-56af-ab53-7120f013e99e,2024,S1,58,Ciencias y Sistemas,2016-58,2021
6bd36f7f-f413-50fc-9d21-a81519a0f9ae,2024,S1,58,Ciencias y Sistemas,2016-58,2021
6ca44d65-1cc8-59d0-8612-060e77224b40,2024,S1,58,Ciencias y Sistemas,2016-58,2021
711a105b-6bab-535c-8559-d33f6b48b697,2024,S1,58,Ciencias y Sistemas,2016-58,2021
71629b28-676c-5f88-96b2-fa1142a2a041,2024,S1,58,Ciencias y Sistemas,2016-58,2021
