antecedente,consecuente,tamano_antecedente,tamano_consecuente,soporte,confianza,lift,soporte_antecedente,soporte_consecuente,leverage,consecuente_relevante
curso_obligatorio + semestre_4,curso_base,2,1,0.14930300807043287,1.0,1.61301775147929,0.14930300807043287,0.6199559794570799,0.05674171546623935,False
bloqueo_alto + zona_media,curso_base,2,1,0.1371973587674248,1.0,1.61301775147929,0.1371973587674248,0.6199559794570799,0.05214103583384157,False
bloqueo_alto + semestre_3,curso_base,2,1,0.13132795304475423,1.0,1.61301775147929,0.13132795304475423,0.6199559794570799,0.04991040328480022,False
area_ciencias_basicas_y_complementarias + bloqueo_alto,curso_base,2,1,0.1305942773294204,1.0,1.61301775147929,0.1305942773294204,0.6199559794570799,0.04963157421617004,False
abierto_siguiente + bloqueo_alto,curso_base,2,1,0.12986060161408658,1.0,1.61301775147929,0.12986060161408658,0.6199559794570799,0.049352745147539887,False
bloqueo_alto + no_abierto_siguiente,curso_base,2,1,0.1206896551724138,1.0,1.61301775147929,0.1206896551724138,0.6199559794570799,0.045867381789662764,False
bloqueo_alto + periodo_s1,curso_base,2,1,0.1144534115920763,1.0,1.61301775147929,0.1144534115920763,0.6199559794570799,0.04349733470630633,False
bloqueo_medio + semestre_4,curso_base,2,1,0.11225238444607484,1.0,1.61301775147929,0.11225238444607484,0.6199559794570799,0.042660847500415836,False
no_requiere_laboratorio + semestre_3,curso_base,2,1,0.11225238444607484,1.0,1.61301775147929,0.11225238444607484,0.6199559794570799,0.042660847500415836,False
bloqueo_alto + periodo_s2,curso_base,2,1,0.09684519442406456,1.0,1.61301775147929,0.09684519442406456,0.6199559794570799,0.03680543705918228,False
abierto_siguiente + semestre_4,curso_base,2,1,0.09060895084372707,1.0,1.61301775147929,0.09060895084372707,0.6199559794570799,0.03443538997582585,False
abierto_siguiente + semestre_1,curso_base,2,1,0.0851063829787234,1.0,1.61301775147929,0.0851063829787234,0.6199559794570799,0.03234417196109958,False
bloqueo_alto + perdio,curso_base,2,1,0.0818048422597212,1.0,1.61301775147929,0.0818048422597212,0.6199559794570799,0.031089441152263822,False
bloqueo_alto + requiere_laboratorio,curso_base,2,1,0.07740278796771827,1.0,1.61301775147929,0.07740278796771827,0.6199559794570799,0.02941646674048281,False
area_desarrollo_de_software + bloqueo_alto,curso_base,2,1,0.06676449009537784,1.0,1.61301775147929,0.06676449009537784,0.6199559794570799,0.025373445245345363,False
requiere_laboratorio + semestre_4,curso_base,2,1,0.06456346294937637,1.0,1.61301775147929,0.06456346294937637,0.6199559794570799,0.024536958039454854,False
